scenario_id,batch_id,scenario_family_id,severity_id,profile_id,rank,ranking_score,policy_id,replanning_method_id,execution_mode,experiment_count,mean_delta_objective_value,mean_delta_makespan,mean_delta_total_travel_time,mean_total_lateness,replanning_request_count,replanning_applied_count,is_recommended,recommendation_class
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,campaign_combined_delay_light_batch,combined_delay,light,objective_only,1,0.0,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,3,0.0,0.0,10.0,0.0,0,0,True,weak_or_tied
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,campaign_combined_delay_light_batch,combined_delay,light,objective_only,2,0.0,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,no_replanning_execution_baseline,3,0.0,0.0,10.0,0.0,0,0,False,
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,campaign_combined_delay_light_batch,combined_delay,light,objective_only,3,0.0,threshold_delay_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,3,0.0,0.0,10.0,0.0,0,0,False,
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_moderate_nominal_delay_minutes_50_description_medium_disruption_useful_to_test_trade_offs_between_keeping_the_plan_and_replanning,campaign_combined_delay_moderate_batch,combined_delay,moderate,objective_only,1,-52.0,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,replanning_applied_execution,3,-52.0,38.0,-17.0,0.0,3,3,True,replanning_tradeoff
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_moderate_nominal_delay_minutes_50_description_medium_disruption_useful_to_test_trade_offs_between_keeping_the_plan_and_replanning,campaign_combined_delay_moderate_batch,combined_delay,moderate,objective_only,2,15.0,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,3,15.0,15.0,50.0,0.0,0,0,False,
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_moderate_nominal_delay_minutes_50_description_medium_disruption_useful_to_test_trade_offs_between_keeping_the_plan_and_replanning,campaign_combined_delay_moderate_batch,combined_delay,moderate,objective_only,3,15.0,threshold_delay_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,3,15.0,15.0,50.0,0.0,3,0,False,
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_severe_nominal_delay_minutes_90_description_large_disruption_useful_to_test_robustness_risk_and_operational_recovery,campaign_combined_delay_severe_batch,combined_delay,severe,objective_only,1,-52.0,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,replanning_applied_execution,3,-52.0,66.0,-17.0,0.0,3,3,True,replanning_tradeoff
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_severe_nominal_delay_minutes_90_description_large_disruption_useful_to_test_robustness_risk_and_operational_recovery,campaign_combined_delay_severe_batch,combined_delay,severe,objective_only,2,55.0,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,3,55.0,55.0,90.0,0.0,0,0,False,
family_id_combined_delay_description_travel_and_service_times_are_both_perturbed_uses_travel_delay_true_uses_service_delay_true_creates_reassignment_opportunity_false_severity_id_severe_nominal_delay_minutes_90_description_large_disruption_useful_to_test_robustness_risk_and_operational_recovery,campaign_combined_delay_severe_batch,combined_delay,severe,objective_only,3,55.0,threshold_delay_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,3,55.0,55.0,90.0,0.0,3,0,False,
family_id_reassignment_opportunity_description_a_disruption_creates_a_possible_benefit_from_reassigning_remaining_work_uses_travel_delay_true_uses_service_delay_false_creates_reassignment_opportunity_true_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,objective_only,1,0.0,no_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,3,0.0,0.0,10.0,0.0,0,0,True,weak_or_tied
family_id_reassignment_opportunity_description_a_disruption_creates_a_possible_benefit_from_reassigning_remaining_work_uses_travel_delay_true_uses_service_delay_false_creates_reassignment_opportunity_true_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,objective_only,2,0.0,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,no_replanning_execution_baseline,3,0.0,0.0,10.0,0.0,0,0,False,
family_id_reassignment_opportunity_description_a_disruption_creates_a_possible_benefit_from_reassigning_remaining_work_uses_travel_delay_true_uses_service_delay_false_creates_reassignment_opportunity_true_severity_id_light_nominal_delay_minutes_10_description_small_disruption_usually_useful_to_test_whether_replanning_is_unnecessary,campaign_reassignment_opportunity_light_batch,reassignment_opportunity,light,objective_only,3,0.0,threshold_delay_replanning_policy_v1,replanning_not_implemented_v1,no_replanning_execution_baseline,3,0.0,0.0,10.0,0.0,0,0,False,
family_id_reassignment_opportunity_description_a_disruption_creates_a_possible_benefit_from_reassigning_remaining_work_uses_travel_delay_true_uses_service_delay_false_creates_reassignment_opportunity_true_severity_id_moderate_nominal_delay_minutes_50_description_medium_disruption_useful_to_test_trade_offs_between_keeping_the_plan_and_replanning,campaign_reassignment_opportunity_moderate_batch,reassignment_opportunity,moderate,objective_only,1,-52.0,threshold_delay_replanning_policy_v1,greedy_replanning_solver_v1,replanning_applied_execution,3,-52.0,3.0,-17.0,0.0,3,3,True,replanning_tradeoff
